Дата;Продажи, шт.;Остаток, шт.;Базовая цена, ₽;Скидка, %;СПП, %;Цена с СПП, ₽;Цена с WB Кошельком, ₽;Выручка, ₽;Отзывы, шт.;Рейтинг;Был в рекламе;Был в акции
2025-09-03;19 шт;1 208;989 ₽;29%;—;712 ₽;697 ₽;13 618 ₽;6 517;5,0;Да;Да
2025-09-04;20 шт;1 188;989 ₽;29%;—;712 ₽;697 ₽;14 318 ₽;6 522;5,0;Да;Да
2025-08-20;38 шт;1 027;988 ₽;32%;—;679 ₽;665 ₽;25 594 ₽;6 442;5,0;Да;Да
2025-08-21;48 шт;979;988 ₽;32%;—;679 ₽;665 ₽;32 592 ₽;6 446;5,0;Да;Да
2025-08-22;35 шт;944;988 ₽;32%;—;679 ₽;665 ₽;23 765 ₽;6 450;5,0;Да;Да
2025-08-23;32 шт;912;988 ₽;32%;—;679 ₽;665 ₽;21 728 ₽;6 455;5,0;Да;Да
2025-08-24;34 шт;878;988 ₽;32%;—;679 ₽;665 ₽;23 086 ₽;6 459;5,0;Да;Да
2025-08-25;34 шт;844;988 ₽;32%;—;679 ₽;665 ₽;23 086 ₽;6 466;5,0;Да;Да
2025-08-26;31 шт;813;988 ₽;32%;—;679 ₽;665 ₽;21 049 ₽;6 473;5,0;Да;Да
2025-09-01;39 шт;1 264;988 ₽;33%;—;663 ₽;649 ₽;25 945 ₽;6 502;5,0;Да;Да
2025-09-02;37 шт;1 227;988 ₽;33%;—;663 ₽;649 ₽;24 531 ₽;6 508;5,0;Да;Да
2025-08-19;46 шт;1 065;988 ₽;33%;—;671 ₽;657 ₽;29 618 ₽;6 437;5,0;Да;Да
2025-04-24;37 шт;2 732;977 ₽;33%;—;656 ₽;642 ₽;24 029 ₽;16 980;5,0;Да;Да
2025-04-25;31 шт;2 701;977 ₽;33%;—;656 ₽;642 ₽;19 974 ₽;16 990;5,0;Да;Да
2025-04-26;21 шт;2 680;977 ₽;33%;—;656 ₽;642 ₽;13 688 ₽;17 006;5,0;Да;Да
2025-04-27;30 шт;2 651;977 ₽;33%;—;656 ₽;642 ₽;19 528 ₽;17 031;5,0;Да;Да
2025-08-31;40 шт;1 303;988 ₽;33%;—;671 ₽;657 ₽;25 865 ₽;6 496;5,0;Да;Да
2025-04-29;38 шт;2 599;977 ₽;34%;—;648 ₽;635 ₽;24 624 ₽;17 050;5,0;Да;Да
2025-05-18;66 шт;2 693;968 ₽;35%;—;631 ₽;618 ₽;41 317 ₽;17 313;5,0;Да;Да
2025-06-22;28 шт;2 309;988 ₽;35%;—;646 ₽;633 ₽;17 989 ₽;17 744;5,0;Да;Нет
2025-06-29;14 шт;2 107;988 ₽;35%;—;647 ₽;634 ₽;9 074 ₽;17 858;5,0;Нет;Нет
2025-06-30;30 шт;2 077;988 ₽;35%;—;647 ₽;634 ₽;19 314 ₽;17 869;5,0;Да;Нет
2025-04-28;14 шт;2 637;977 ₽;35%;—;641 ₽;628 ₽;9 011 ₽;17 041;5,0;Да;Да
2025-07-01;27 шт;2 050;988 ₽;36%;—;639 ₽;626 ₽;17 421 ₽;6 195;5,0;Да;Да
2025-06-23;33 шт;2 276;988 ₽;36%;—;639 ₽;626 ₽;21 040 ₽;17 756;5,0;Да;Нет
2025-06-24;38 шт;2 238;988 ₽;36%;—;639 ₽;626 ₽;24 411 ₽;17 767;5,0;Да;Нет
2025-06-25;40 шт;2 198;988 ₽;36%;—;639 ₽;626 ₽;25 671 ₽;17 789;5,0;Да;Нет
2025-08-12;58 шт;1 434;988 ₽;36%;—;639 ₽;626 ₽;36 192 ₽;6 397;5,0;Да;Да
2025-06-26;28 шт;2 170;988 ₽;36%;—;639 ₽;626 ₽;18 108 ₽;17 806;5,0;Да;Нет
2025-06-27;23 шт;2 149;988 ₽;36%;—;639 ₽;626 ₽;14 705 ₽;17 823;5,0;Да;Нет
2025-05-01;39 шт;3 819;977 ₽;36%;—;633 ₽;620 ₽;25 128 ₽;17 074;5,0;Да;Да
2025-07-22;35 шт;1 305;988 ₽;37%;—;631 ₽;618 ₽;21 203 ₽;6 298;5,0;Да;Да
2025-07-23;17 шт;1 288;988 ₽;37%;—;624 ₽;611 ₽;10 744 ₽;6 304;5,0;Да;Да
2025-07-30;40 шт;1 382;988 ₽;37%;—;624 ₽;611 ₽;25 091 ₽;6 345;5,0;Да;Да
2025-08-01;46 шт;1 296;988 ₽;37%;—;624 ₽;588 ₽;28 723 ₽;6 354;5,0;Да;Да
2025-08-03;42 шт;1 209;988 ₽;37%;—;624 ₽;603 ₽;26 208 ₽;6 361;5,0;Да;Да
2025-08-06;48 шт;1 084;988 ₽;37%;—;624 ₽;588 ₽;29 952 ₽;6 370;5,0;Да;Да
2025-08-07;41 шт;1 043;988 ₽;37%;—;624 ₽;603 ₽;25 584 ₽;6 372;5,0;Да;Да
2025-08-08;42 шт;1 255;988 ₽;37%;—;624 ₽;588 ₽;26 208 ₽;6 376;5,0;Да;Да
2025-08-10;60 шт;1 548;988 ₽;37%;—;624 ₽;603 ₽;37 440 ₽;6 391;5,0;Да;Да
2025-06-28;28 шт;2 121;988 ₽;37%;—;631 ₽;618 ₽;18 012 ₽;17 839;5,0;Да;Нет
2025-08-16;43 шт;1 217;988 ₽;37%;—;624 ₽;611 ₽;26 800 ₽;6 419;5,0;Да;Да
2025-08-17;46 шт;1 171;988 ₽;37%;—;624 ₽;611 ₽;28 672 ₽;6 427;5,0;Да;Да
2025-08-18;60 шт;1 111;988 ₽;37%;—;631 ₽;618 ₽;37 468 ₽;6 433;5,0;Да;Да
2025-08-27;27 шт;1 427;988 ₽;37%;—;632 ₽;619 ₽;17 628 ₽;6 477;5,0;Да;Да
2025-08-28;34 шт;1 393;988 ₽;37%;—;632 ₽;619 ₽;21 488 ₽;6 483;5,0;Да;Да
2025-08-29;27 шт;1 366;988 ₽;37%;—;632 ₽;619 ₽;17 222 ₽;6 485;5,0;Да;Да
2025-08-30;23 шт;1 343;988 ₽;37%;—;632 ₽;619 ₽;14 536 ₽;6 492;5,0;Да;Да
2025-04-30;39 шт;2 560;977 ₽;37%;—;617 ₽;604 ₽;24 902 ₽;17 059;5,0;Да;Да
2025-07-24;26 шт;1 262;988 ₽;38%;—;616 ₽;603 ₽;16 277 ₽;6 310;5,0;Да;Да
2025-06-01;38 шт;3 259;986 ₽;38%;—;621 ₽;608 ₽;23 904 ₽;11 260;5,0;Да;Да
2025-06-05;43 шт;3 049;986 ₽;38%;—;621 ₽;608 ₽;26 716 ₽;11 276;5,0;Да;Да
2025-08-05;34 шт;1 132;988 ₽;38%;—;616 ₽;603 ₽;21 216 ₽;6 365;5,0;Да;Да
2025-05-19;55 шт;2 638;968 ₽;38%;—;609 ₽;596 ₽;34 171 ₽;17 326;5,0;Да;Да
2025-07-11;42 шт;1 713;988 ₽;38%;—;616 ₽;603 ₽;26 011 ₽;6 247;5,0;Да;Да
2025-07-13;45 шт;1 639;988 ₽;38%;—;616 ₽;603 ₽;27 712 ₽;6 253;5,0;Да;Да
2025-08-11;56 шт;1 492;988 ₽;38%;—;616 ₽;603 ₽;34 944 ₽;6 394;5,0;Да;Да
2025-08-13;49 шт;1 385;988 ₽;38%;—;616 ₽;603 ₽;30 576 ₽;6 403;5,0;Да;Да
2025-05-26;43 шт;2 248;986 ₽;38%;—;612 ₽;599 ₽;26 473 ₽;17 426;5,0;Да;Да
2025-08-14;55 шт;1 327;988 ₽;38%;—;616 ₽;603 ₽;34 320 ₽;6 408;5,0;Да;Да
2025-05-27;59 шт;2 190;986 ₽;38%;—;612 ₽;599 ₽;36 936 ₽;11 221;5,0;Да;Да
2025-08-15;64 шт;1 260;988 ₽;38%;—;616 ₽;603 ₽;39 384 ₽;6 417;5,0;Да;Да
2025-04-16;122 шт;3 095;1 080 ₽;38%;—;672 ₽;658 ₽;80 814 ₽;16 862;5,0;Да;Нет
2025-04-21;30 шт;2 836;1 080 ₽;38%;—;672 ₽;658 ₽;20 016 ₽;16 941;5,0;Да;Да
2025-04-22;40 шт;2 802;1 080 ₽;38%;—;672 ₽;658 ₽;26 824 ₽;16 952;5,0;Да;Да
