Артикул продавца,Артикул WB,Название,Предмет,Бренд,Ярлыки,Удаленный товар,Рейтинг карточки,Рейтинг по отзывам,Дата,Переходы в карточку,Положили в корзину,Добавили в отложенные,"Заказали, шт","Заказали ВБ клуб, шт","Выкупили, шт","Выкупили ВБ клуб, шт","Отменили, шт","Отменили ВБ клуб, шт","Конверсия в корзину, %","Конверсия в заказ, %",Процент выкупа,Процент выкупа ВБ клуб,"Заказали на сумму, ₽","Заказали на сумму ВБ клуб, ₽","Выкупили на сумму, ₽","Выкупили на сумму ВБ клуб, ₽","Отменили на сумму, ₽","Отменили на сумму ВБ клуб, ₽",Год,Месяц,Неделя,Месяц_название,День_недели,День_месяца,День_года
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-08-28,425,14,19,4,0,0,0,4,0,3,29,0,0,24960,0,0,0,24960,0,2024,8,35,August,Wednesday,28,08-28
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-08-29,385,24,11,2,0,0,0,2,0,6,8,0,0,12480,0,0,0,12480,0,2024,8,35,August,Thursday,29,08-29
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-08-30,407,31,21,3,0,0,0,2,0,8,10,0,0,18720,0,0,0,12480,0,2024,8,35,August,Friday,30,08-30
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-08-31,340,33,18,3,0,1,0,2,0,10,9,33,0,18720,0,6240,0,12480,0,2024,8,35,August,Saturday,31,08-31
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-01,676,42,42,5,0,0,0,5,0,6,12,0,0,31200,0,0,0,31200,0,2024,9,35,September,Sunday,1,09-01
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-02,247,20,4,4,0,0,0,4,0,8,20,0,0,25440,0,0,0,25440,0,2024,9,36,September,Monday,2,09-02
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-03,292,17,12,3,0,1,0,2,0,6,18,33,0,19200,0,6400,0,12800,0,2024,9,36,September,Tuesday,3,09-03
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-04,427,25,9,5,0,0,0,5,0,6,20,0,0,32001,0,0,0,32001,0,2024,9,36,September,Wednesday,4,09-04
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-05,632,44,0,8,0,1,0,7,0,7,18,13,0,51199,0,6400,0,44799,0,2024,9,36,September,Thursday,5,09-05
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-06,930,120,0,23,0,7,0,16,0,13,19,30,0,147199,0,44800,0,102399,0,2024,9,36,September,Friday,6,09-06
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-07,1293,162,0,29,0,13,0,15,0,13,18,46,0,188800,0,84640,0,97760,0,2024,9,36,September,Saturday,7,09-07
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-08,1553,208,0,42,0,11,0,27,0,13,20,29,0,278563,0,72640,0,179443,0,2024,9,36,September,Sunday,8,09-08
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-09,1336,155,0,35,0,8,0,25,0,12,23,24,0,237680,0,54320,0,169760,0,2024,9,37,September,Monday,9,09-09
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-10,1481,174,0,32,0,8,0,22,0,12,18,27,0,217600,0,54400,0,149600,0,2024,9,37,September,Tuesday,10,09-10
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-11,1623,148,0,35,0,4,0,28,0,9,24,13,0,240025,0,27440,0,192025,0,2024,9,37,September,Wednesday,11,09-11
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-12,1847,195,136,37,0,11,0,25,0,11,19,31,0,264400,0,78400,0,179040,0,2024,9,37,September,Thursday,12,09-12
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-13,1751,154,97,29,0,12,0,17,0,9,19,41,0,216641,0,89201,0,127440,0,2024,9,37,September,Friday,13,09-13
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-14,1254,79,64,14,0,3,0,10,0,6,18,23,0,105280,0,22560,0,75200,0,2024,9,37,September,Saturday,14,09-14
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-15,1130,70,56,15,0,3,0,10,0,6,21,23,0,112800,0,22560,0,75200,0,2024,9,37,September,Sunday,15,09-15
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-16,1278,72,64,16,0,5,0,10,0,6,22,33,0,120324,0,37600,0,75204,0,2024,9,38,September,Monday,16,09-16
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-17,1142,72,53,15,0,4,0,10,0,6,21,29,0,112801,0,30080,0,75201,0,2024,9,38,September,Tuesday,17,09-17
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-18,1176,80,50,19,0,5,0,13,0,7,24,28,0,138080,0,36400,0,94160,0,2024,9,38,September,Wednesday,18,09-18
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-19,866,40,27,12,0,4,0,8,0,5,30,33,0,90240,0,30080,0,60160,0,2024,9,38,September,Thursday,19,09-19
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-20,984,58,42,19,0,2,0,17,0,6,33,11,0,142880,0,15040,0,127840,0,2024,9,38,September,Friday,20,09-20
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-21,1272,86,73,16,0,7,0,9,0,7,19,44,0,120320,0,52640,0,67680,0,2024,9,38,September,Saturday,21,09-21
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-22,1610,75,45,16,0,5,0,11,0,5,21,31,0,120320,0,37600,0,82720,0,2024,9,38,September,Sunday,22,09-22
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-23,1259,62,49,13,0,6,0,7,0,5,21,46,0,85520,0,39680,0,45840,0,2024,9,39,September,Monday,23,09-23
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-24,837,43,36,12,0,0,0,12,0,5,28,0,0,90240,0,0,0,90240,0,2024,9,39,September,Tuesday,24,09-24
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-25,984,63,37,11,0,1,0,10,0,6,17,9,0,82720,0,7520,0,75200,0,2024,9,39,September,Wednesday,25,09-25
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-26,1060,76,62,15,0,2,0,13,0,7,20,13,0,113040,0,15040,0,98000,0,2024,9,39,September,Thursday,26,09-26
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-27,946,65,54,19,0,6,0,10,0,7,29,38,0,144400,0,45600,0,76000,0,2024,9,39,September,Friday,27,09-27
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-28,932,51,37,12,0,6,0,6,0,5,24,50,0,91199,0,45599,0,45600,0,2024,9,39,September,Saturday,28,09-28
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-29,1224,68,39,12,0,1,0,11,0,6,18,8,0,91200,0,7600,0,83600,0,2024,9,39,September,Sunday,29,09-29
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-09-30,627,55,27,14,0,5,0,7,0,9,25,42,0,106399,0,37999,0,53199,0,2024,9,40,September,Monday,30,09-30
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-01,1098,62,56,8,0,3,0,4,0,6,13,43,0,60800,0,22800,0,30400,0,2024,10,40,October,Tuesday,1,10-01
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-02,934,82,50,24,0,4,0,20,0,9,29,17,0,182400,0,30400,0,152000,0,2024,10,40,October,Wednesday,2,10-02
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-03,740,48,49,10,0,1,0,9,0,6,21,10,0,76000,0,7600,0,68400,0,2024,10,40,October,Thursday,3,10-03
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-04,781,55,54,10,0,4,0,6,0,7,18,40,0,76000,0,30400,0,45600,0,2024,10,40,October,Friday,4,10-04
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-05,1066,66,58,14,0,5,0,9,0,6,21,36,0,106400,0,38000,0,68400,0,2024,10,40,October,Saturday,5,10-05
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-06,764,55,38,14,0,8,0,6,0,7,25,57,0,106400,0,60800,0,45600,0,2024,10,40,October,Sunday,6,10-06
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-07,619,44,30,7,0,3,0,4,0,7,16,43,0,53200,0,22800,0,30400,0,2024,10,41,October,Monday,7,10-07
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-08,707,58,33,16,0,5,0,11,0,8,28,31,0,121602,0,38000,0,83602,0,2024,10,41,October,Tuesday,8,10-08
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-09,736,55,35,12,0,4,0,8,0,7,22,33,0,91203,0,30403,0,60800,0,2024,10,41,October,Wednesday,9,10-09
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-10,1016,93,73,14,0,4,0,10,0,9,15,29,0,106399,0,30400,0,75999,0,2024,10,41,October,Thursday,10,10-10
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-11,942,61,42,13,0,5,0,8,0,6,21,38,0,88400,0,34000,0,54400,0,2024,10,41,October,Friday,11,10-11
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-12,765,56,32,11,0,5,0,6,0,7,20,45,0,74800,0,34000,0,40800,0,2024,10,41,October,Saturday,12,10-12
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-13,574,27,26,6,0,1,0,5,0,5,22,17,0,44000,0,6800,0,37200,0,2024,10,41,October,Sunday,13,10-13
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-14,598,31,36,5,0,1,0,4,0,5,16,20,0,38000,0,7600,0,30400,0,2024,10,42,October,Monday,14,10-14
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-15,796,76,45,12,0,3,0,9,0,10,16,25,0,91202,0,22800,0,68402,0,2024,10,42,October,Tuesday,15,10-15
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-16,600,30,29,4,0,1,0,3,0,5,13,25,0,30471,0,7600,0,22871,0,2024,10,42,October,Wednesday,16,10-16
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-17,433,28,19,11,0,4,0,7,0,6,39,36,0,83691,0,30400,0,53291,0,2024,10,42,October,Thursday,17,10-17
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-18,732,66,39,12,0,5,0,7,0,9,18,42,0,88802,0,35602,0,53200,0,2024,10,42,October,Friday,18,10-18
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-19,369,13,19,4,0,2,0,2,0,4,31,50,0,30400,0,15200,0,15200,0,2024,10,42,October,Saturday,19,10-19
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-20,274,19,11,6,0,2,0,4,0,7,32,33,0,45600,0,15200,0,30400,0,2024,10,42,October,Sunday,20,10-20
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-21,747,67,44,11,0,2,0,9,0,9,16,18,0,74800,0,13600,0,61200,0,2024,10,43,October,Monday,21,10-21
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-22,555,43,25,8,0,2,0,6,0,8,19,25,0,54400,0,13600,0,40800,0,2024,10,43,October,Tuesday,22,10-22
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-23,410,27,29,7,0,0,0,7,0,7,26,0,0,51600,0,0,0,51600,0,2024,10,43,October,Wednesday,23,10-23
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-24,389,23,19,6,0,2,0,4,0,6,26,33,0,45600,0,15200,0,30400,0,2024,10,43,October,Thursday,24,10-24
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-25,407,29,18,4,0,0,0,4,0,7,14,0,0,30674,0,0,0,30674,0,2024,10,43,October,Friday,25,10-25
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-26,667,30,18,6,0,2,0,4,0,4,20,33,0,47055,0,15680,0,31375,0,2024,10,43,October,Saturday,26,10-26
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-27,650,54,32,10,0,0,0,10,0,8,19,0,0,66160,0,0,0,66160,0,2024,10,43,October,Sunday,27,10-27
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-28,422,30,21,4,0,1,0,3,0,7,13,25,0,31040,0,7760,0,23280,0,2024,10,44,October,Monday,28,10-28
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-29,596,47,39,6,0,2,0,4,0,8,13,33,0,46561,0,15520,0,31040,0,2024,10,44,October,Tuesday,29,10-29
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-30,418,40,18,7,0,0,0,7,0,10,18,0,0,54360,0,0,0,54360,0,2024,10,44,October,Wednesday,30,10-30
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-10-31,563,64,38,12,0,0,0,12,0,11,19,0,0,93135,0,0,0,93135,0,2024,10,44,October,Thursday,31,10-31
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-01,512,46,37,5,0,0,0,5,0,9,11,0,0,38800,0,0,0,38800,0,2024,11,44,November,Friday,1,11-01
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-02,516,27,26,7,0,1,0,5,0,5,26,17,0,50640,0,5920,0,38800,0,2024,11,44,November,Saturday,2,11-02
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-03,349,17,12,3,0,0,0,2,0,5,18,0,0,23280,0,0,0,15520,0,2024,11,44,November,Sunday,3,11-03
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-04,449,34,24,5,0,2,0,3,0,8,15,40,0,38800,0,15520,0,23280,0,2024,11,45,November,Monday,4,11-04
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-05,452,29,29,6,0,2,0,4,0,6,21,33,0,46560,0,15520,0,31040,0,2024,11,45,November,Tuesday,5,11-05
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-06,370,24,19,4,0,0,0,4,0,6,17,0,0,30880,0,0,0,30880,0,2024,11,45,November,Wednesday,6,11-06
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-07,452,46,50,9,0,2,0,7,0,10,20,22,0,69520,0,15520,0,54000,0,2024,11,45,November,Thursday,7,11-07
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-08,420,31,21,3,0,1,0,2,0,7,10,33,0,23280,0,7760,0,15520,0,2024,11,45,November,Friday,8,11-08
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-09,452,26,41,3,0,1,0,2,0,6,12,33,0,23280,0,7760,0,15520,0,2024,11,45,November,Saturday,9,11-09
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-10,485,44,41,6,0,2,0,4,0,9,14,33,0,46560,0,15520,0,31040,0,2024,11,45,November,Sunday,10,11-10
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-11,447,28,25,3,0,0,0,3,0,6,11,0,0,23280,0,0,0,23280,0,2024,11,46,November,Monday,11,11-11
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-12,374,48,24,4,0,0,0,3,0,13,8,0,0,31040,0,0,0,23280,0,2024,11,46,November,Tuesday,12,11-12
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-13,378,39,22,13,0,1,0,12,0,10,33,8,0,100880,0,7760,0,93120,0,2024,11,46,November,Wednesday,13,11-13
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-14,452,56,31,10,0,1,0,9,0,12,18,10,0,63924,0,6240,0,57684,0,2024,11,46,November,Thursday,14,11-14
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-15,348,26,23,3,0,0,0,3,0,7,12,0,0,23280,0,0,0,23280,0,2024,11,46,November,Friday,15,11-15
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-16,346,24,21,5,0,4,0,1,0,7,21,80,0,38800,0,31040,0,7760,0,2024,11,46,November,Saturday,16,11-16
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-17,369,25,20,4,0,0,0,4,0,7,16,0,0,31040,0,0,0,31040,0,2024,11,46,November,Sunday,17,11-17
99999,251871691,Кожаный пиджак оверсайз жакет,Пиджаки,DROP21,Пиджак борд,Нет,10.0,4.5,2024-11-18,290,35,16,10,0,3,0,7,0,12,29,30,0,77600,0,23280,0,54320,0,2024,11,47,November,Monday,18,11-18
