,,,,,,Обозначение,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Автор,,,,"закуп, отгрузка на МП,  продвижение, главное - встать, как можно выше к росту органики",,,,,,,идеальное время для теста новинок,,,,,,,,,,,,,,,,,,,,,
,,,Денис | PRO Wildberries и OZON,,,,"рост спроса (числа поисковых запросов), плавно повышаем цену",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://t.me/denwb,,,,"пик сезона, к концу периода должно быть распродано 80% стока",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"спад сезона, снижение цены, распродажа остатков (иначе заморозим деньги)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"не сезон, нет остатков или минимальный сток",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,категория,сезон,пол,наименование товара,запрос,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,график,пик,дельта,сум. частота  ,Осень,изм. %,доля %,Зима,изм. %,доля %,Весна,изм. %,доля %,Лето,изм. %,доля %,график,пик
134,юбки,весь год,женский,юбка черная,юбка черная,35 252,45 074,42 370,39 241,35 812,29 572,55 028,90 365,50 685,36 385,34 070,18 451,,авг.,"4,90",512 305,121 140,-31%,24%,98 777,-18%,19%,117 423,19%,23%,174 965,49%,34%,,Лето
307,костюмы,весь год,женский,костюм брючный,костюм женский брючный,137 101,161 505,205 166,173 820,308 672,337 160,340 652,531 985,515 955,299 255,287 365,63 405,,авг.,"8,39",3 362 041,1 102 575,-9%,33%,362 011,-67%,11%,687 658,90%,20%,1 209 797,76%,36%,,Лето
224,блузки,демисезон,женский,блузка офисная,блузка женская офисная,25 315,31 911,35 269,31 151,13 448,7 664,13 096,35 700,42 370,39 605,27 905,7 942,,сент.,"5,53",311 376,109 880,95%,35%,65 168,-41%,21%,79 868,23%,26%,56 460,-29%,18%,,Осень
87,брюки,весь год,женский,брюки черные,брюки черные женские,29 028,32 729,32 891,26 993,17 476,16 112,25 708,42 405,37 870,27 405,25 070,12 511,,авг.,"3,39",326 198,90 345,7%,28%,74 268,-18%,23%,77 360,4%,24%,84 225,9%,26%,,Осень
131,юбки,лето-осень,женский,юбка офисная,юбка женская офисная,6 983,8 493,10 115,8 912,6 236,6 232,22 060,71 145,66 275,39 040,30 025,4 741,,авг.,"15,01",280 257,135 340,36%,48%,20 217,-85%,7%,25 263,25%,9%,99 437,294%,35%,,Осень
